domain,score,domain_pop,backlinks,wikipedia_links,archive_first_year,archive_captures,other_tlds_registered,majestic_rank,whois_created,length,sources
judoloiret.com,44.8,298,27,0,2009,81,1,0,2025,10,"core1,tf"
localindya.com,44.8,70,416,0,2006,309,0,0,2025,10,"core2,tf"
leavetoenter.com,44.8,14,188,1,2009,114,0,0,2023,12,wiki
lietolainen.com,44.7,160,20,0,2002,87,1,0,2002,11,core1
dotnewsbd.com,44.6,335,421,0,2013,54,1,0,2025,9,core1
moviesfirm.com,44.6,62,106,0,2003,115,0,0,2025,10,core2
cinesouq.com,44.6,62,119,1,2009,159,0,0,2025,8,"core2,wiki,short"
spencerdrums.com,44.6,13,0,1,2005,105,0,0,2021,12,wiki
roundstrading.com,44.5,115,1255,0,2011,72,1,0,2026,13,"core1,tf"
revelryfest.com,44.5,12,168,2,2015,98,0,0,2021,11,wiki
atalanter.com,44.5,21,316,0,2013,24,5,0,2025,9,tldreg
veende.com,44.5,58,99,0,2007,82,1,0,2025,6,short
comison.com,44.5,200,624,0,2013,25,0,0,2024,7,tf
inarilainen.com,44.4,159,14,0,2002,104,1,0,2002,11,core1
cenashop.com,44.4,16,160,0,2007,92,2,0,2025,8,tldreg
zonamotos.com,44.4,10,17,0,2008,27,3,0,2024,9,tldreg
kuhmolainen.com,44.3,158,13,0,2002,107,1,0,2002,11,core1
vietcanh.com,44.3,73,296,1,2011,187,0,0,2025,8,"core2,wiki,short,tf"
emresumo.com,44.3,44,21,0,2009,37,2,0,2025,8,tldreg
